host_is_superhost,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bedrooms,beds,price,minimum_nights,minimum_minimum_nights,instant_bookable,reviews_per_month,amenities_number
t,t,t,Oostelijk Havengebied - Indische Buurt,52.36575,4.94142,Private room,2,1.0,2.0,59.0,3,3,t,1.98,26
f,t,t,Centrum-Oost,52.36424,4.89396,Private room,2,1.0,1.0,236.0,1,4,t,2.63,17
t,t,f,Centrum-West,52.37297,4.88339,Entire home/apt,3,1.0,1.0,125.0,14,14,f,0.15,29
t,t,t,Centrum-West,52.38761,4.89188,Private room,2,1.0,1.0,138.0,2,2,t,2.05,24
t,t,t,Centrum-West,52.36719,4.89092,Private room,2,1.0,1.0,75.0,2,2,f,2.72,15
t,t,t,Centrum-West,52.36773,4.89151,Private room,1,1.0,1.0,55.0,2,2,f,4.13,17
f,t,t,Zuid,52.35132,4.84838,Entire home/apt,4,3.0,3.0,219.0,3,3,f,0.29,22
t,t,t,Centrum-West,52.37891,4.88321,Entire home/apt,3,1.0,1.0,160.0,4,4,f,0.74,28
f,t,t,Centrum-West,52.37537,4.88932,Entire home/apt,4,2.0,4.0,211.0,3,3,f,5.03,10
f,t,t,Centrum-West,52.38071,4.8861,Entire home/apt,3,1.0,1.0,115.0,7,7,f,1.43,34
f,t,t,De Pijp - Rivierenbuurt,52.35247,4.90825,Entire home/apt,2,1.0,1.0,150.0,3,3,f,0.02,18
t,t,t,De Baarsjes - Oud-West,52.36799,4.87447,Entire home/apt,3,2.0,2.0,140.0,2,2,f,1.48,26
t,t,t,Centrum-West,52.38028,4.89089,Entire home/apt,3,2.0,2.0,154.0,2,1,f,3.04,40
f,t,f,De Baarsjes - Oud-West,52.36266,4.86103,Entire home/apt,4,2.0,2.0,250.0,3,3,f,0.9,15
f,t,t,Bos en Lommer,52.37632,4.8397,Entire home/apt,6,3.0,3.0,115.0,4,4,f,0.22,14
t,t,t,Westerpark,52.38201,4.87865,Entire home/apt,2,1.0,1.0,120.0,2,2,t,1.15,19
t,t,t,Centrum-West,52.36841,4.88413,Private room,2,1.0,1.0,96.0,2,2,f,2.57,18
f,t,t,Oostelijk Havengebied - Indische Buurt,52.37005,4.93869,Private room,2,1.0,1.0,75.0,2,2,t,0.84,20
f,t,t,De Pijp - Rivierenbuurt,52.35339,4.90064,Private room,2,1.0,2.0,40.0,7,7,t,2.94,28
f,t,t,Westerpark,52.38905,4.88559,Private room,2,1.0,1.0,100.0,3,3,t,2.67,15
f,t,t,De Pijp - Rivierenbuurt,52.35348,4.90049,Private room,3,1.0,3.0,50.0,7,7,t,2.93,29
f,t,t,Centrum-Oost,52.37126,4.90351,Private room,2,1.0,1.0,90.0,1,1,t,1.53,12
f,t,t,De Pijp - Rivierenbuurt,52.35386,4.89772,Entire home/apt,4,2.0,2.0,222.0,3,3,f,0.27,23
f,t,t,Centrum-Oost,52.35896,4.89726,Entire home/apt,3,1.0,1.0,159.0,4,4,f,0.49,29
f,t,f,De Baarsjes - Oud-West,52.36966,4.86203,Private room,2,1.0,1.0,65.0,2,2,f,1.3,8
f,t,t,Zuid,52.35613,4.88515,Entire home/apt,4,2.0,2.0,149.0,4,4,f,0.8,19
t,t,t,Centrum-West,52.36916,4.88445,Private room,4,2.0,2.0,151.0,3,2,t,1.18,34
f,t,t,Oud-Oost,52.36445,4.93124,Entire home/apt,2,1.0,1.0,124.0,3,3,f,0.25,27
t,t,t,De Baarsjes - Oud-West,52.36348,4.86783,Entire home/apt,2,1.0,1.0,189.0,3,3,f,1.19,20
f,t,t,De Pijp - Rivierenbuurt,52.35472,4.89324,Entire home/apt,2,1.0,1.0,106.0,2,2,f,0.19,18
t,t,t,Centrum-West,52.36887,4.89523,Private room,2,1.0,2.0,45.0,30,30,t,5.65,27
t,t,t,Centrum-West,52.3695,4.89556,Private room,2,1.0,1.0,98.0,3,2,t,4.93,24
f,t,t,Centrum-West,52.37353,4.87691,Hotel room,2,1.0,1.0,170.0,3,2,f,1.34,19
t,t,f,Noord-West,52.41433,4.92014,Private room,2,1.0,1.0,40.0,1,1,f,1.94,17
t,t,t,Zuid,52.35935,4.87672,Entire home/apt,4,2.0,4.0,220.0,5,5,f,0.53,28
t,t,t,Oud-Oost,52.36482,4.92762,Private room,3,1.0,2.0,105.0,3,3,t,2.22,27
t,t,t,Oud-Oost,52.36551,4.92848,Private room,2,1.0,1.0,70.0,3,3,t,2.84,20
f,t,f,De Baarsjes - Oud-West,52.36145,4.87696,Private room,2,1.0,1.0,115.0,4,4,f,0.3,25
f,t,f,De Baarsjes - Oud-West,52.36342,4.87558,Private room,2,1.0,2.0,115.0,4,4,f,0.14,27
t,t,t,Westerpark,52.38934,4.89089,Hotel room,4,2.0,2.0,165.0,3,3,f,1.22,26
f,t,t,Centrum-West,52.37876,4.89264,Private room,1,1.0,1.0,109.0,2,2,t,1.87,22
f,t,t,Centrum-West,52.37026,4.88003,Entire home/apt,4,1.0,2.0,102.0,2,2,f,7.55,27
f,t,t,Centrum-West,52.37307,4.89343,Entire home/apt,4,1.0,2.0,249.0,3,3,f,1.13,17
f,t,t,De Pijp - Rivierenbuurt,52.35632,4.88921,Entire home/apt,2,1.0,1.0,101.0,2,2,f,1.36,9
f,t,t,De Baarsjes - Oud-West,52.36521,4.85136,Hotel room,2,1.0,1.0,127.0,3,3,t,0.83,30
f,t,f,De Pijp - Rivierenbuurt,52.35774,4.89647,Private room,2,1.0,1.0,95.0,1,1,t,0.39,32
f,t,f,Centrum-Oost,52.3727,4.90776,Private room,2,1.0,2.0,52.0,1,1,f,2.85,25
t,t,t,Slotervaart,52.3491,4.83611,Private room,2,1.0,2.0,65.0,2,2,f,1.74,14
f,t,t,Centrum-Oost,52.37007,4.9196,Entire home/apt,2,1.0,1.0,150.0,2,2,t,0.33,20
f,t,f,De Baarsjes - Oud-West,52.36083,4.85667,Entire home/apt,4,1.0,2.0,100.0,5,5,f,0.07,10
t,t,t,Centrum-West,52.36571,4.88464,Private room,2,1.0,2.0,57.0,4,3,f,3.82,27
t,t,t,Bos en Lommer,52.38193,4.85541,Entire home/apt,4,1.0,1.0,99.0,2,2,t,1.35,13
f,t,t,De Pijp - Rivierenbuurt,52.35517,4.88969,Private room,2,1.0,1.0,80.0,2,2,f,0.26,6
