host_is_superhost,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bedrooms,beds,price,minimum_nights,minimum_minimum_nights,instant_bookable,reviews_per_month,amenities_number,predicted_price,listing_id,host_listings_count,host_total_listings_count,review_scores_rating,review_scores_value,review_scores_accuracy,review_scores_checkin,calculated_host_listings_count
t,t,t,Oostelijk Havengebied - Indische Buurt,52.36575,4.94142,Private room,2,1.0,2.0,59.0,3,3,t,1.98,26,77.62654452227821,2818,1.0,1.0,98.0,10.0,10.0,10.0,1
f,t,t,Centrum-Oost,52.36424,4.89396,Private room,2,1.0,1.0,236.0,1,4,t,2.63,17,92.66416654771751,20168,2.0,2.0,89.0,9.0,10.0,10.0,2
t,t,f,Centrum-West,52.37297,4.88339,Entire home/apt,3,1.0,1.0,125.0,14,14,f,0.15,29,177.78478234144882,25428,2.0,2.0,100.0,10.0,10.0,10.0,1
t,t,t,Centrum-West,52.387609999999995,4.8918800000000005,Private room,2,1.0,1.0,138.0,2,2,t,2.05,24,109.4160580589978,27886,1.0,1.0,99.0,10.0,10.0,10.0,1
t,t,t,Centrum-West,52.36719,4.8909199999999995,Private room,2,1.0,1.0,75.0,2,2,f,2.72,15,100.13815779972856,28871,2.0,2.0,97.0,10.0,10.0,10.0,2
t,t,t,Centrum-West,52.36773,4.89151,Private room,1,1.0,1.0,55.0,2,2,f,4.13,17,81.24313691032376,29051,2.0,2.0,95.0,9.0,10.0,10.0,2
f,t,t,Zuid,52.35132,4.848380000000001,Entire home/apt,4,3.0,3.0,219.0,3,3,f,0.29,22,196.4656946959483,31080,1.0,1.0,95.0,9.0,9.0,10.0,1
t,t,t,Centrum-West,52.37891,4.88321,Entire home/apt,3,1.0,1.0,160.0,4,4,f,0.74,28,173.37433035618437,41125,1.0,1.0,96.0,9.0,10.0,10.0,1
f,t,t,Centrum-West,52.375370000000004,4.88932,Entire home/apt,4,2.0,4.0,211.0,3,3,f,5.03,10,162.96663925741086,43109,0.0,0.0,98.0,9.0,10.0,9.0,1
f,t,t,Centrum-West,52.38071,4.8861,Entire home/apt,3,1.0,1.0,115.0,7,7,f,1.43,34,172.96072312965725,44129,10.0,10.0,98.0,9.0,10.0,10.0,5
f,t,t,De Pijp - Rivierenbuurt,52.352470000000004,4.90825,Entire home/apt,2,1.0,1.0,150.0,3,3,f,0.02,18,136.53438497017123,46386,1.0,1.0,93.0,8.0,10.0,9.0,1
t,t,t,De Baarsjes - Oud-West,52.36799,4.87447,Entire home/apt,3,2.0,2.0,140.0,2,2,f,1.48,26,164.95187146542207,47061,1.0,1.0,96.0,9.0,10.0,10.0,1
t,t,t,Centrum-West,52.38028,4.89089,Entire home/apt,3,2.0,2.0,154.0,2,1,f,3.04,40,191.1650623844489,49552,1.0,1.0,98.0,10.0,10.0,10.0,1
f,t,f,De Baarsjes - Oud-West,52.36266,4.86103,Entire home/apt,4,2.0,2.0,250.0,3,3,f,0.9,15,168.8904474961248,49790,0.0,0.0,99.0,9.0,10.0,10.0,1
f,t,t,Bos en Lommer,52.37632,4.8397,Entire home/apt,6,3.0,3.0,115.0,4,4,f,0.22,14,197.35340435909188,50515,1.0,1.0,95.0,10.0,10.0,10.0,1
t,t,t,Westerpark,52.38201,4.87865,Entire home/apt,2,1.0,1.0,120.0,2,2,t,1.15,19,129.53596773410004,50518,1.0,1.0,96.0,9.0,10.0,10.0,2
t,t,t,Centrum-West,52.36841,4.88413,Private room,2,1.0,1.0,96.0,2,2,f,2.57,18,103.47545416253547,50523,1.0,1.0,97.0,10.0,10.0,10.0,1
f,t,t,Oostelijk Havengebied - Indische Buurt,52.37005,4.93869,Private room,2,1.0,1.0,75.0,2,2,t,0.84,20,73.9536476147423,52490,1.0,1.0,92.0,9.0,10.0,10.0,1
f,t,t,De Pijp - Rivierenbuurt,52.353390000000005,4.90064,Private room,2,1.0,2.0,40.0,7,7,t,2.94,28,92.99175538193549,53067,1.0,1.0,93.0,9.0,10.0,10.0,5
f,t,t,Westerpark,52.38905,4.8855900000000005,Private room,2,1.0,1.0,100.0,3,3,t,2.67,15,77.7652237106006,53671,1.0,1.0,91.0,9.0,9.0,10.0,1
f,t,t,De Pijp - Rivierenbuurt,52.35348,4.9004900000000005,Private room,3,1.0,3.0,50.0,7,7,t,2.93,29,108.05100986171874,53692,1.0,1.0,92.0,9.0,10.0,10.0,5
f,t,t,Centrum-Oost,52.37126,4.90351,Private room,2,1.0,1.0,90.0,1,1,t,1.53,12,94.26857354860499,55256,1.0,1.0,92.0,8.0,9.0,9.0,1
f,t,t,De Pijp - Rivierenbuurt,52.35386,4.89772,Entire home/apt,4,2.0,2.0,222.0,3,3,f,0.27,23,184.70164896069423,55621,1.0,1.0,95.0,9.0,10.0,10.0,1
f,t,t,Centrum-Oost,52.358959999999996,4.89726,Entire home/apt,3,1.0,1.0,159.0,4,4,f,0.49,29,169.92417107831943,55709,1.0,1.0,99.0,10.0,10.0,10.0,1
f,t,f,De Baarsjes - Oud-West,52.369659999999996,4.86203,Private room,2,1.0,1.0,65.0,2,2,f,1.3,8,77.4213799377685,55807,1.0,1.0,97.0,10.0,10.0,10.0,1
f,t,t,Zuid,52.35613,4.88515,Entire home/apt,4,2.0,2.0,149.0,4,4,f,0.8,19,176.86746480868464,55868,1.0,1.0,97.0,10.0,10.0,10.0,1
t,t,t,Centrum-West,52.36916,4.88445,Private room,4,2.0,2.0,151.0,3,2,t,1.18,34,168.72979601496695,58211,4.0,4.0,98.0,10.0,10.0,10.0,2
f,t,t,Oud-Oost,52.36445,4.93124,Entire home/apt,2,1.0,1.0,124.0,3,3,f,0.25,27,134.84317597083646,62015,1.0,1.0,98.0,9.0,10.0,10.0,1
t,t,t,De Baarsjes - Oud-West,52.363479999999996,4.8678300000000005,Entire home/apt,2,1.0,1.0,189.0,3,3,f,1.19,20,130.30533480082318,64736,1.0,1.0,98.0,10.0,10.0,10.0,1
f,t,t,De Pijp - Rivierenbuurt,52.35472,4.8932400000000005,Entire home/apt,2,1.0,1.0,106.0,2,2,f,0.19,18,135.30062208634445,67841,3.0,3.0,94.0,9.0,10.0,10.0,2
t,t,t,Centrum-West,52.36887,4.895230000000001,Private room,2,1.0,2.0,45.0,30,30,t,5.65,27,96.24471584130765,68290,2.0,2.0,96.0,10.0,10.0,10.0,2
t,t,t,Centrum-West,52.3695,4.89556,Private room,2,1.0,1.0,98.0,3,2,t,4.93,24,98.2518148701738,68873,2.0,2.0,96.0,9.0,10.0,10.0,2
f,t,t,Centrum-West,52.37353,4.87691,Hotel room,2,1.0,1.0,170.0,3,2,f,1.34,19,123.85468191321843,69042,2.0,2.0,91.0,8.0,9.0,9.0,1
t,t,f,Noord-West,52.41433,4.92014,Private room,2,1.0,1.0,40.0,1,1,f,1.94,17,57.26366118038277,70598,1.0,1.0,95.0,10.0,10.0,10.0,1
t,t,t,Zuid,52.35935,4.87672,Entire home/apt,4,2.0,4.0,220.0,5,5,f,0.53,28,188.3169577997303,73208,2.0,2.0,99.0,10.0,10.0,10.0,1
t,t,t,Oud-Oost,52.36482,4.92762,Private room,3,1.0,2.0,105.0,3,3,t,2.22,27,103.82683766666946,75382,3.0,3.0,95.0,9.0,10.0,10.0,3
t,t,t,Oud-Oost,52.36551,4.92848,Private room,2,1.0,1.0,70.0,3,3,t,2.84,20,80.25291313925095,75444,3.0,3.0,94.0,9.0,10.0,10.0,3
f,t,f,De Baarsjes - Oud-West,52.36145,4.8769599999999995,Private room,2,1.0,1.0,115.0,4,4,f,0.3,25,99.05492306365045,75499,2.0,2.0,99.0,10.0,10.0,10.0,2
f,t,f,De Baarsjes - Oud-West,52.36342,4.87558,Private room,2,1.0,2.0,115.0,4,4,f,0.14,27,100.91855067181882,76459,2.0,2.0,97.0,10.0,10.0,10.0,2
t,t,t,Westerpark,52.389340000000004,4.89089,Hotel room,4,2.0,2.0,165.0,3,3,f,1.22,26,161.67495328319956,76668,1.0,1.0,97.0,9.0,10.0,10.0,1
f,t,t,Centrum-West,52.37876,4.89264,Private room,1,1.0,1.0,109.0,2,2,t,1.87,22,90.6783077774744,80635,3.0,3.0,95.0,9.0,10.0,10.0,2
f,t,t,Centrum-West,52.370259999999995,4.8800300000000005,Entire home/apt,4,1.0,2.0,102.0,2,2,f,7.55,27,153.9231540989863,82482,1.0,1.0,89.0,9.0,10.0,10.0,1
f,t,t,Centrum-West,52.37307,4.89343,Entire home/apt,4,1.0,2.0,249.0,3,3,f,1.13,17,172.31780093247903,82748,2.0,2.0,96.0,9.0,10.0,10.0,2
f,t,t,De Pijp - Rivierenbuurt,52.356320000000004,4.88921,Entire home/apt,2,1.0,1.0,101.0,2,2,f,1.36,9,121.2580174856821,83814,1.0,1.0,94.0,9.0,9.0,9.0,1
f,t,t,De Baarsjes - Oud-West,52.36521,4.85136,Hotel room,2,1.0,1.0,127.0,3,3,t,0.83,30,115.4031756579775,84057,30.0,30.0,95.0,9.0,10.0,10.0,5
f,t,f,De Pijp - Rivierenbuurt,52.35774,4.89647,Private room,2,1.0,1.0,95.0,1,1,t,0.39,32,109.33863594758486,91535,1.0,1.0,95.0,9.0,10.0,10.0,1
f,t,f,Centrum-Oost,52.3727,4.90776,Private room,2,1.0,2.0,52.0,1,1,f,2.85,25,103.12077215738123,96048,1.0,1.0,86.0,9.0,9.0,10.0,3
t,t,t,Slotervaart,52.3491,4.83611,Private room,2,1.0,2.0,65.0,2,2,f,1.74,14,61.38692035721738,97221,2.0,2.0,91.0,9.0,10.0,10.0,2
f,t,t,Centrum-Oost,52.37007,4.9196,Entire home/apt,2,1.0,1.0,150.0,2,2,t,0.33,20,145.7238989597431,107195,1.0,1.0,95.0,9.0,9.0,10.0,1
f,t,f,De Baarsjes - Oud-West,52.36083,4.856669999999999,Entire home/apt,4,1.0,2.0,100.0,5,5,f,0.07,10,151.55400465421144,108890,1.0,1.0,100.0,10.0,10.0,10.0,1
t,t,t,Centrum-West,52.36571,4.88464,Private room,2,1.0,2.0,57.0,4,3,f,3.82,27,106.79986735547914,118097,2.0,2.0,97.0,10.0,10.0,10.0,2
t,t,t,Bos en Lommer,52.38193,4.85541,Entire home/apt,4,1.0,1.0,99.0,2,2,t,1.35,13,133.27778048245932,120872,2.0,2.0,93.0,9.0,9.0,10.0,3
f,t,t,De Pijp - Rivierenbuurt,52.35517,4.88969,Private room,2,1.0,1.0,80.0,2,2,f,0.26,6,85.21892736543305,130390,1.0,1.0,97.0,10.0,10.0,10.0,1
f,t,t,De Pijp - Rivierenbuurt,52.353609999999996,4.90562,Private room,4,3.0,3.0,200.0,3,3,f,0.91,32,168.2871721868571,137026,1.0,1.0,95.0,9.0,10.0,10.0,1
f,t,t,Zuid,52.34751,4.84963,Entire home/apt,3,1.0,1.0,165.0,2,2,f,0.26,8,137.82611235128275,137901,0.0,0.0,90.0,9.0,9.0,10.0,1
t,t,t,Oostelijk Havengebied - Indische Buurt,52.36461,4.9389199999999995,Entire home/apt,3,2.0,2.0,145.0,4,4,f,0.76,16,143.40758076743964,141708,2.0,2.0,95.0,9.0,9.0,10.0,2
f,t,t,De Baarsjes - Oud-West,52.3686,4.86487,Private room,2,1.0,1.0,37.0,2,2,f,0.17,6,79.64959899945939,148132,1.0,1.0,95.0,10.0,10.0,10.0,1
f,t,f,Oud-Oost,52.36528,4.9301,Entire home/apt,2,1.0,1.0,150.0,7,7,f,0.19,6,115.31622478431382,155548,1.0,1.0,95.0,9.0,10.0,10.0,1
f,t,t,De Baarsjes - Oud-West,52.36368,4.85506,Entire home/apt,2,1.0,1.0,147.0,3,3,f,0.6,29,138.0596550785267,162467,1.0,1.0,95.0,9.0,10.0,10.0,1
f,t,t,De Baarsjes - Oud-West,52.37336,4.85754,Entire home/apt,4,3.0,4.0,112.0,2,2,f,0.55,27,195.40712656796336,165833,1.0,1.0,97.0,10.0,10.0,10.0,1
f,t,t,Centrum-West,52.37956,4.8935900000000006,Private room,2,1.0,1.0,118.0,2,2,t,2.33,18,99.48814668765453,168769,3.0,3.0,91.0,9.0,10.0,10.0,2
f,t,t,Centrum-West,52.38172,4.8831,Entire home/apt,2,1.0,1.0,157.0,7,7,f,0.2,25,154.6844136047755,169356,1.0,1.0,100.0,10.0,10.0,10.0,1
f,t,f,De Baarsjes - Oud-West,52.36916,4.86643,Entire home/apt,3,2.0,3.0,120.0,3,3,f,0.92,27,165.03240608167562,171054,1.0,1.0,95.0,9.0,10.0,10.0,1
f,t,t,Zuid,52.3559,4.87919,Entire home/apt,4,3.0,2.0,249.0,2,2,f,0.55,24,198.68124958240287,171498,0.0,0.0,100.0,10.0,10.0,10.0,1
f,t,f,De Baarsjes - Oud-West,52.36339,4.854019999999999,Entire home/apt,6,3.0,3.0,97.0,4,4,f,0.43,30,230.0478649584404,171631,1.0,1.0,96.0,9.0,9.0,10.0,1
f,t,f,Centrum-Oost,52.36208,4.9101,Entire home/apt,2,1.0,1.0,168.0,2,2,f,1.24,13,137.48245792710418,174592,1.0,1.0,86.0,7.0,8.0,8.0,1
f,t,t,De Baarsjes - Oud-West,52.35964,4.86713,Entire home/apt,4,1.0,2.0,200.0,2,2,f,0.93,32,168.8392733229557,175989,1.0,1.0,97.0,10.0,10.0,10.0,1
f,t,t,De Pijp - Rivierenbuurt,52.34332,4.89484,Entire home/apt,3,2.0,2.0,245.0,21,21,t,0.24,34,179.13103739144913,179528,2.0,2.0,89.0,9.0,9.0,10.0,2
f,t,f,Oud-Noord,52.38624,4.90067,Entire home/apt,2,2.0,2.0,125.0,30,30,f,0.14,11,119.53989744416003,182839,1.0,1.0,98.0,10.0,10.0,10.0,1
t,t,f,De Baarsjes - Oud-West,52.36824,4.85321,Private room,2,1.0,1.0,48.0,1,1,f,3.29,29,92.30449834636647,188347,2.0,2.0,93.0,9.0,10.0,10.0,1
t,t,t,Centrum-West,52.37433,4.892469999999999,Private room,4,1.0,3.0,113.0,2,2,t,1.68,29,144.52846066452025,189754,1.0,1.0,95.0,9.0,10.0,10.0,1
f,t,t,Centrum-Oost,52.36057,4.89671,Private room,2,1.0,1.0,73.0,3,3,t,5.41,29,94.16980553405824,193038,2.0,2.0,99.0,10.0,10.0,10.0,1
f,t,f,Centrum-West,52.38393,4.89237,Entire home/apt,2,1.0,1.0,129.0,3,3,f,0.37,7,137.5033491718509,198307,1.0,1.0,99.0,10.0,10.0,10.0,1
f,t,t,Westerpark,52.38351,4.87573,Entire home/apt,3,1.0,2.0,99.0,5,5,f,0.38,15,141.25578936564807,199844,1.0,1.0,96.0,9.0,10.0,10.0,1
f,t,t,De Baarsjes - Oud-West,52.35931,4.86111,Entire home/apt,2,1.0,5.0,71.0,5,5,f,0.37,24,131.81016925038625,200461,1.0,1.0,86.0,8.0,8.0,9.0,1
